feedback,issue,distance,76/150,,,,,27/50,,feedback,issue,distance,55/100,,,,result,distance,Appproach,,,Matching Bug report,Sentence MiniLM nouns & verbs,Matching Bug report,Sentence MiniLM,,,result,NEXTCLLOUD,FIREFOX,
"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!",Nextcloud app crash,0.63112897,1,,,"Not working on Pixel 4 XL stock Android 10, won't.let me log in. Provider is Google FI (not Fiber) with automatic VPN.......is that the issue?",Auto-Upload not working whilst vpn is on,0,,App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,app crashes when uploading a bunch of pics,0.67637855,0,,,,TRUE,0.66568005,Sentence MiniLM nouns & verbs,,,TRUE,0.6480105,TRUE,0.58144784,,,TRUE,0.79353344,0.50321907,FALSE
"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!",Can not use nextcloud,0.6151635,1,6,,App is draining all of my battery because it seems to loop all day long. Temporarily enabled auto upload over cellular. Now I disabled this option again but Nextcloud continues to upload data over cellular. Sometimes it's not even properly auto-uploading my pictures. Phone: Samsung S9 Worst app I ever used.,nextcloud always stopping when upload on android apps,0,,App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,app not syncing auto upload folder and crashing sometimes,0.66922003,0,,,,TRUE,0.8338283,Sentence MiniLM nouns & verbs,,,TRUE,0.6827401,TRUE,0.552034,,,TRUE,0.78408194,0.6978636,FALSE
"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!😠",Login failed on the app ,0.6737165,1,,,Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,Nextcloud Android app Crashes after logging in,0,,With the latest update to the app auto upload fails to work.,Auto upload works after start app manualy,0.6954238,0,,,,TRUE,0.8102795,Sentence MiniLM nouns & verbs,,,TRUE,0.48530737,TRUE,0.5346988,,,TRUE,0.56447124,0.6135998,FALSE
"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!😠",Fix logging in beta app,0.58317524,1,,,"I kinda like that you have to be real particular about selecting folders to upload, but until there's an auto-sync, I'll be using Syncthing. a little more detail: you can select ""auto-upload"" and specify a local folder, a remote folder, and some other stuff (defaults are probably fine). It will then _upload_ _new_ files in that local directory (but not subdirectories, which is important for music). So all those existing files, never touched. And if you delete a file, that doesn't propagate out to your server, and therefore to your other devices. And if a file is changed/created/etc on the server, you'll never know about it until you manually sync that folder.",folder rename on server not visible in the device,0,,With the latest update to the app auto upload fails to work.,Auto upload doesn't work on Android for already uploaded photos.,0.6827401,1,,,,TRUE,0.79353344,Sentence MiniLM nouns & verbs,,,TRUE,0.4315572,TRUE,0.48617253,,,TRUE,0.5095999,0.46703133,FALSE
"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!😠",App does not not log in on Android or crashes,0.5736331,1,7,,"Can not login, after i enter my password i keep looping back to the login menu",Stuck in login loop,1,,Absolutely destroys battery life. Phone always lasts all day well past midnight. Had it installed for 3 days and will now go from fully charged at 7am to dead at 5pm with hardly any phone use and no phone calls. Android reporting app responsible for 19% of battery drain. Can't keep it installed like that.,Massive battery drainage and mobile data use after first usage,0.48530737,1,,,,TRUE,0.78408194,Sentence MiniLM nouns & verbs,,,TRUE,0.4279085,TRUE,0.44548836,,,TRUE,0.48821837,0.4547854,FALSE
App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,app crashes when uploading a bunch of pics,0.67637855,0,,,"Having a lot of trouble when trying to auto upload a folder containing multiple sub folders with pictures and video from a SD card. Does not seem to want to sync. I had to send files manually, did not scan the folder apparently. My goal is to move video and photos from the phone to this removable card so I can save some space and backup those to a nas...",Sync folder fails on sd card,1,,Absolutely destroys battery life. Phone always lasts all day well past midnight. Had it installed for 3 days and will now go from fully charged at 7am to dead at 5pm with hardly any phone use and no phone calls. Android reporting app responsible for 19% of battery drain. Can't keep it installed like that.,Nextcloud use much battery with out auto upload activate...,0.4315572,1,,,,TRUE,0.7545074,Sentence MiniLM nouns & verbs,,,TRUE,0.5107155,TRUE,0.7612072,,,TRUE,0.6177308,0.724158,TRUE
App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,app not syncing auto upload folder and crashing sometimes,0.66922003,0,,,Auto uploads no longer work. App just freezes on s8+,Existing files auto upload freezes app,1,,Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,Fingerprint Lock Not working on Xiaomi Mi 8 devices,0.5107155,1,,,,TRUE,0.56447124,Sentence MiniLM nouns & verbs,,,TRUE,0.46320307,TRUE,0.7271416,,,TRUE,0.58144784,0.71461743,TRUE
App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,[F-Droid Dev version] App crashes on Auto upload option openning,0.6480105,1,8,,This is useless on Android. It will not sync your old picture files. Only the new ones. This seems to work on IOS though. There are complains about this on the internet dating back to 2016. They were supposed to work on that. It is now Dec 2019.,(Auto sync) The pictures aren't uploaded when not on wifi,0,,Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,3.13 RC1 pin/fingerprint prompt not working,0.46320307,1,,,,TRUE,0.5095999,Sentence MiniLM nouns & verbs,,,TRUE,0.4399591,TRUE,0.6928574,,,TRUE,0.552034,0.6924752,TRUE
With the latest update to the app auto upload fails to work.,"""Auto upload"" works after start app manualy",0.6954238,0,,,application crashes on clicking Log In,App does not not log in on Android or crashes,1,,"I just started using this app with a home server and I'm having the issue 
where the log in screen keeps popping up. Interestingly, it's not logging 
me out. I can hit back, quickly interact with my files, and then the login 
comes back up. If I enter the settings menu, the login menu won't come up, 
but as soon as I leave settings it starts happening again.",Repeatedly logging out,0.563619,1,,,,TRUE,0.48821837,Sentence MiniLM nouns & verbs,,,TRUE,0.563619,TRUE,0.56987935,,,TRUE,0.58099496,0.6093159,FALSE
With the latest update to the app auto upload fails to work.,Auto upload doesn't work on Android for already uploaded photos.,0.6827401,1,,,"Could not connect. After feeding correct server address and getting ""Secure connection established"" I get ""Could not find host"". Buggy and unusable.",Can not connect to server: Unknown error occurred!,1,,"I just started using this app with a home server and I'm having the issue 
where the log in screen keeps popping up. Interestingly, it's not logging 
me out. I can hit back, quickly interact with my files, and then the login 
comes back up. If I enter the settings menu, the login menu won't come up, 
but as soon as I leave settings it starts happening again.",Nextcloud App falling back to log in screen continuously. ,0.53832835,1,,,,TRUE,0.58099496,Sentence MiniLM nouns & verbs,,,TRUE,0.53832835,TRUE,0.57574034,,,TRUE,0.57472575,0.549723,FALSE
With the latest update to the app auto upload fails to work.,Auto upload not working on Samsung Galaxy S10 with Android 10,0.6577765,0,9,,Where has the fingerprint access gone?,"The ""Device credentials"" feature doesn't work with fingerprints",0,,"Not working on Pixel 4 XL stock Android 10, won't.let me log in. Provider is Google FI (not Fiber) with automatic VPN.......is that the issue?",Auto-Upload not working whilst vpn is on,0.42563683,0,,,,TRUE,0.57472575,Sentence MiniLM nouns & verbs,,,TRUE,0.54471236,TRUE,0.5411609,,,TRUE,0.6928574,0.6162351,TRUE
Absolutely destroys battery life. Phone always lasts all day well past midnight. Had it installed for 3 days and will now go from fully charged at 7am to dead at 5pm with hardly any phone use and no phone calls. Android reporting app responsible for 19% of battery drain. Can't keep it installed like that.,Massive battery drainage and mobile data use after first usage,0.48530737,1,,,"Autoupload not working, android 7, otherwise all seems good. Happy with app and will increase stars to 5 when auto upload is working.",Auto upload doesn't work on Android for already uploaded photos.,1,,"Not working on Pixel 4 XL stock Android 10, won't.let me log in. Provider is Google FI (not Fiber) with automatic VPN.......is that the issue?",Auto upload not working on Samsung Galaxy S10 with Android 10,0.41200665,0,,,,TRUE,0.5346988,Sentence MiniLM nouns & verbs,,,TRUE,0.54336643,TRUE,0.8222419,,,TRUE,0.56987935,0.6138226,TRUE
Absolutely destroys battery life. Phone always lasts all day well past midnight. Had it installed for 3 days and will now go from fully charged at 7am to dead at 5pm with hardly any phone use and no phone calls. Android reporting app responsible for 19% of battery drain. Can't keep it installed like that.,Nextcloud use much battery with out auto upload activate...,0.4315572,1,,,The app keeps crashing. I can't upload photos because of this. Please fix the problem.,app crashes when uploading a bunch of pics,1,,App is draining all of my battery because it seems to loop all day long. Temporarily enabled auto upload over cellular. Now I disabled this option again but Nextcloud continues to upload data over cellular. Sometimes it's not even properly auto-uploading my pictures. Phone: Samsung S9 Worst app I ever used.,nextcloud always stopping when upload on android apps,0.5957323,0,,,,TRUE,0.7612072,Sentence MiniLM nouns & verbs,,,TRUE,0.6408295,TRUE,0.6094079,,,TRUE,0.8364399,0.5380856,FALSE
Absolutely destroys battery life. Phone always lasts all day well past midnight. Had it installed for 3 days and will now go from fully charged at 7am to dead at 5pm with hardly any phone use and no phone calls. Android reporting app responsible for 19% of battery drain. Can't keep it installed like that.,Unusual high battery consumption (for my taste),0.4279085,1,10,,"Love nextcloud, but this app is extremely buggy - frequently freezes and crashes. This seems related to the auto-upload feature, which appears to be duplicating many times the same uploads and hogging the phone CPU/battery. Hopefully this is fixed in the next update.",Next cloud app crash,1,,App is draining all of my battery because it seems to loop all day long. Temporarily enabled auto upload over cellular. Now I disabled this option again but Nextcloud continues to upload data over cellular. Sometimes it's not even properly auto-uploading my pictures. Phone: Samsung S9 Worst app I ever used.,Share from other apps to nextcloud app does not do anything,0.5534493,0,,,,TRUE,0.6928574,Sentence MiniLM nouns & verbs,,,TRUE,0.63138616,TRUE,0.60842955,,,TRUE,0.8222419,0.53688353,FALSE
Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,Fingerprint Lock Not working on Xiaomi Mi 8 devices,0.5107155,1,,,"Nextcloud 3.2.0 does not always pick up new camera files for auto upload 
even if the folder auto upload is turn on. It seems not to reliable detect 
new files. We really need a solution. Stop adding new features first make 
file monitoring reliable. Also please make error recovery automatically 
(reattempt to upload)",Auto Upload view shows files in Nextcloud temporary storage,0,,Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,Nextcloud Android app Crashes after logging in,0.5871558,0,,,,TRUE,0.5772158,Sentence MiniLM nouns & verbs,,,TRUE,0.62646717,TRUE,0.781927,,,TRUE,0.73808366,0.5296056,FALSE
Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,3.13 RC1 pin/fingerprint prompt not working,0.46320307,1,,,Man I love nextcloud but good God this app sucks. Constant crashes clicking photos in the menu doesn't show photos instead its constantly loads or crashes. I'd be willing to pay a few dollars a year for some good work on this app. I think most people would agree. This app needs alot of work. Limited organization with only favorites working. No tags in this app. Don't expect a fun easy browsing experience here.,Nextcloud app broke when click Photo Album,1,,Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,Nextcloud keep asking account password,0.54336643,1,,,,TRUE,0.56987935,Sentence MiniLM nouns & verbs,,,TRUE,0.56617516,TRUE,0.7766095,,,TRUE,0.6094079,0.6292399,TRUE
Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,Fingerprint unlocking crashing app on startup,0.4399591,1,11,,new update has broken auto upload. all that happens is I get an error about local storage being full!!! EDIT: Thanks for responding. I have 128gb local storage and a 512gb sd card which is where my pictures are saved to. I'm only using 30gb or so on local storage currently so I should have the space for any images/videos I take. I try to keep at least 10gb of local storage free at any one time for things like updates so I'd have thought that would be more than enough as I mostly take pictures.,Auto upload not working - not enough space ,1,,"I kinda like that you have to be real particular about selecting folders to upload, but until there's an auto-sync, I'll be using Syncthing. a little more detail: you can select ""auto-upload"" and specify a local folder, a remote folder, and some other stuff (defaults are probably fine). It will then _upload_ _new_ files in that local directory (but not subdirectories, which is important for music). So all those existing files, never touched. And if you delete a file, that doesn't propagate out to your server, and therefore to your other devices. And if a file is changed/created/etc on the server, you'll never know about it until you manually sync that folder.",folder rename on server not visible in the device,0.52794176,0,,,,TRUE,0.5687294,Sentence MiniLM nouns & verbs,,,TRUE,0.5617562,TRUE,0.55973446,,,TRUE,0.60842955,0.62291646,TRUE
"I just started using this app with a home server and I'm having the issue 
where the log in screen keeps popping up. Interestingly, it's not logging 
me out. I can hit back, quickly interact with my files, and then the login 
comes back up. If I enter the settings menu, the login menu won't come up, 
but as soon as I leave settings it starts happening again.",Repeatedly logging out,0.563619,1,,,"Really good and useful app. Auto upload works great, even when offline it will retry and upload as soon as you're connected (you'll still get an error, ignore it). I use it with the ""move to nextcloud folder"" option, so I know what's been uploaded. My issues with it: (1) auto-upload won't upload existing pics (many reports on this) (3) useless and stupid slow photos tab (4) multiple selection is one by one only (5) no bidirectional folder sync option. Still, pros outweigh the cons, recommended",(Auto sync) The pictures aren't uploaded when not on wifi,0,,"I kinda like that you have to be real particular about selecting folders to upload, but until there's an auto-sync, I'll be using Syncthing. a little more detail: you can select ""auto-upload"" and specify a local folder, a remote folder, and some other stuff (defaults are probably fine). It will then _upload_ _new_ files in that local directory (but not subdirectories, which is important for music). So all those existing files, never touched. And if you delete a file, that doesn't propagate out to your server, and therefore to your other devices. And if a file is changed/created/etc on the server, you'll never know about it until you manually sync that folder.",sync crashes if file is added to media dir by other app,0.50700927,0,,,,TRUE,0.57574034,Sentence MiniLM nouns & verbs,,,TRUE,0.64005697,TRUE,0.8739077,,,TRUE,0.781927,0.68447655,FALSE
"I just started using this app with a home server and I'm having the issue 
where the log in screen keeps popping up. Interestingly, it's not logging 
me out. I can hit back, quickly interact with my files, and then the login 
comes back up. If I enter the settings menu, the login menu won't come up, 
but as soon as I leave settings it starts happening again.",Nextcloud App falling back to log in screen continuously. ,0.53832835,1,,,After the latest update 3.0.1 my nextcloud could not find host? Please fix it.,Can not use nextcloud,0,,"Can not login, after i enter my password i keep looping back to the login menu",Stuck in login loop,0.6408295,1,,,,TRUE,0.56436265,Sentence MiniLM nouns & verbs,,,TRUE,0.624732,TRUE,0.7763267,,,TRUE,0.7766095,0.6780039,FALSE
"I just started using this app with a home server and I'm having the issue 
where the log in screen keeps popping up. Interestingly, it's not logging 
me out. I can hit back, quickly interact with my files, and then the login 
comes back up. If I enter the settings menu, the login menu won't come up, 
but as soon as I leave settings it starts happening again.",Fix logging in beta app,0.5237374,0,12,,"Still broken. Random crashes, wrong items being show in some of the screens, the photos section never shows up correctly... Unreliable app feels really buggy and not robust at all. IOS version feels a bit more finished ... This one is an alpha",Android Mobile app crash in photos section,1,,"Can not login, after i enter my password i keep looping back to the login menu",Login loop,0.63138616,1,,,,TRUE,0.5411609,Sentence MiniLM nouns & verbs,,,TRUE,0.7235426,TRUE,0.7643983,,,TRUE,0.8739077,0.71312153,TRUE
"Not working on Pixel 4 XL stock Android 10, won't.let me log in. Provider is Google FI (not Fiber) with automatic VPN.......is that the issue?",Auto-Upload not working whilst vpn is on,0.42563683,0,,,"Nextcloud as a service is amazing, but this mobile client is not so much. The interface is rather unstable and I encounter crashes or bugs while moving from image preview to image preview. I actually have no issues with auto upload, but sync leaves a bit to be desired; you can't configure the location of syncs. Every sync will land in a single directory, which is inconvenient.",Nextcloud does not sync some files over mobile network after allowing to sync over mobile network,0,,"Having a lot of trouble when trying to auto upload a folder containing multiple sub folders with pictures and video from a SD card. Does not seem to want to sync. I had to send files manually, did not scan the folder apparently. My goal is to move video and photos from the phone to this removable card so I can save some space and backup those to a nas...",Sync folder fails on sd card,0.56617516,1,,,,TRUE,0.8364399,Sentence MiniLM nouns & verbs,,,TRUE,0.667723,TRUE,0.6851165,,,TRUE,0.7763267,0.6569941,TRUE
"Not working on Pixel 4 XL stock Android 10, won't.let me log in. Provider is Google FI (not Fiber) with automatic VPN.......is that the issue?",Auto upload not working on Samsung Galaxy S10 with Android 10,0.41200665,0,,,Was great. Now crashes every 30 seconds and takes me out of whatever app I was in.,Nextcloud andriod app keeps crashing,1,,"Having a lot of trouble when trying to auto upload a folder containing multiple sub folders with pictures and video from a SD card. Does not seem to want to sync. I had to send files manually, did not scan the folder apparently. My goal is to move video and photos from the phone to this removable card so I can save some space and backup those to a nas...",Uploading files from SD card simply does not work,0.5617562,1,,,,TRUE,0.8222419,Sentence MiniLM nouns & verbs,,,TRUE,0.6652187,TRUE,0.6806219,,,TRUE,0.7643983,0.61673003,TRUE
"Not working on Pixel 4 XL stock Android 10, won't.let me log in. Provider is Google FI (not Fiber) with automatic VPN.......is that the issue?",Android - Auto Upload STILL not working after 1.5 Years!!!,0.39636725,0,13,,"After repeatedly reporting the issue, it still does not auto-upload my photos unless I manually take the phone out of medium power-saving mode (suicide for any Galaxy S8 owner).",Auto upload doesn't work on Android for already uploaded photos.,1,,Auto uploads no longer work. App just freezes on s8+,Existing files auto upload freezes app,0.64005697,1,,,,TRUE,0.73808366,Sentence MiniLM nouns & verbs,,,TRUE,0.6264973,TRUE,0.6659283,,,TRUE,0.6851165,0.607865,FALSE
App is draining all of my battery because it seems to loop all day long. Temporarily enabled auto upload over cellular. Now I disabled this option again but Nextcloud continues to upload data over cellular. Sometimes it's not even properly auto-uploading my pictures. Phone: Samsung S9 Worst app I ever used.,nextcloud always stopping when upload on android apps,0.5957323,0,,,"Hello, Autoupload doesn't work. I manually created folder on the server using web browser, and checked in the app to create year folder and month. It gives ""connection error"" in uploads queue. So the app is almost useless for me",trying create own auto upload with new directory on server,0,,Auto uploads no longer work. App just freezes on s8+,Android - Auto Upload STILL not working after 1.5 Years!!!,0.624732,1,,,,TRUE,0.60842955,Sentence MiniLM nouns & verbs,,,TRUE,0.600837,TRUE,0.6845327,,,TRUE,0.6806219,0.5996408,TRUE
App is draining all of my battery because it seems to loop all day long. Temporarily enabled auto upload over cellular. Now I disabled this option again but Nextcloud continues to upload data over cellular. Sometimes it's not even properly auto-uploading my pictures. Phone: Samsung S9 Worst app I ever used.,Share from other apps to nextcloud app does not do anything,0.5534493,0,,,First of all. thanks to all the devs for the app. im using the latest version but cant download files anymore using the app. works A1 on the web. im using 15.0.10. Nothing relevent in the logs. Only warning I have is about the fact that the server has no internet connection. thats a mistake. just downloaded stuff from it plus I can get a remote ssh connection to it. i can get my public ip and all... not sure how to debug this. thanks in advance for the help,Android app: Failed to download a file from server,1,,This is useless on Android. It will not sync your old picture files. Only the new ones. This seems to work on IOS though. There are complains about this on the internet dating back to 2016. They were supposed to work on that. It is now Dec 2019.,(Auto sync) The pictures aren't uploaded when not on wifi,0.5440371,0,,,,TRUE,0.57417417,Sentence MiniLM nouns & verbs,,,TRUE,0.5830168,TRUE,0.7609036,,,TRUE,0.6659283,0.59279734,TRUE
